title_id,genre,main_rating,main_title,title_id
503253,['story' 'comic'],9.76,웃지 않는 개그반 시즌1~2,503253
50422,['episode'],9.55,개편 축하 릴레이 카툰,50422
505715,['story' 'comic'],9.92,꽃가족,505715
507274,['story' 'comic'],9.93,위아더 능력자!,507274
507275,['omnibus' 'fantasy' 'drama'],9.95,네로의 실험실,507275
507276,['story' 'fantasy' 'drama'],9.94,그녀는 흡!혈귀,507276
507637,['omnibus' 'thrill'],9.89,금요일,507637
507638,['story' 'fantasy' 'drama'],9.97,신령,507638
509092,['story' 'pure'],9.90,시큼새큼,509092
509093,['story' 'drama'],9.86,아빠를 찾습니다,509093
509094,['story' 'fantasy' 'thrill'],9.85,조선좀비실록,509094
51006,['story' 'fantasy' 'pure'],9.76,은하연인전,51006
51007,['omnibus' 'comic'],9.87,리얼주주,51007
511444,['story' 'comic'],9.91,버프소녀 오오라,511444
511446,['story' 'comic'],9.30,닭통령 계양반,511446
511447,['story' 'fantasy' 'action'],9.76,어빌리티,511447
511454,['story' 'comic'],9.54,우주전함 몰라몰라,511454
514917,['story' 'comic'],9.95,나의 목소리를 들어라,514917
515883,['story' 'fantasy' 'drama'],9.80,사또(Satto),515883
517252,['story' 'fantasy'],9.92,스페이스 킹,517252
517773,['story' 'fantasy' 'drama'],9.82,방과 후 전쟁활동,517773
520598,['story' 'drama'],9.80,스펙트럼 분석기,520598
520599,['story' 'action'],9.92,진진돌이 제로,520599
520600,['story' 'action'],9.94,인형의 기사,520600
521504,['story' 'comic'],9.94,모던패밀리,521504
521533,['story' 'comic'],9.92,SM 플레이어,521533
524353,['story' 'comic'],9.90,경운기를 탄 왕자님,524353
524520,['story' 'fantasy'],9.97,트럼프,524520
528781,['story' 'drama'],9.93,기적! 우리에게 일어난 일들,528781
528782,['story' 'drama'],9.69,사랑을 연기하다,528782
528784,['story' 'comic'],7.46,맛집남녀,528784
528785,['omnibus' 'drama'],9.94,차차차,528785
52946,['episode' 'daily' 'comic'],9.89,스쿨홀릭,52946
52993,['story' 'thrill'],9.94,우월한하루,52993
530311,['story' 'drama'],9.95,코끼리를 끌어안는 방법,530311
530312,['story' 'drama'],9.67,독신으로 살겠다,530312
532057,['story' 'drama'],9.94,투엔티스,532057
537989,['story' 'daily' 'drama'],9.70,장미아파트 공경비,537989
537990,['story' 'fantasy' 'drama'],9.69,싸귀2 : 퇴마록,537990
537991,['story' 'fantasy' 'drama'],9.95,사랑의 외계인,537991
546620,['story' 'drama'],9.92,바람의 색,546620
546622,['omnibus' 'fantasy'],9.93,레인보우 로즈,546622
546623,['story' 'fantasy' 'historical'],9.88,페르샤,546623
546624,['story' 'drama'],9.95,국립자유경제 고등학교 세실고,546624
546625,['story' 'drama'],9.94,동네변호사 조들호 시즌1,546625
546626,['story' 'drama' 'pure' 'sensibility'],9.95,새와 같이,546626
546750,['episode' 'comic'],9.88,내일은 웹툰,546750
546805,['story' 'comic' 'drama'],9.96,알게뭐야,546805
548870,['story' 'comic' 'action'],9.79,굿모닝 보스,548870
55120,['omnibus' 'daily' 'comic'],9.84,내가 결혼할 때까지,55120
55143,['episode' 'daily' 'sensibility'],9.94,일상날개짓,55143
55150,['omnibus' 'comic' 'drama'],9.94,남기한엘리트만들기,55150
551647,['story' 'action'],7.75,킥,551647
551648,['story' 'drama' 'historical'],9.95,오성X한음,551648
551649,['story' 'drama' 'historical'],9.92,낮에 뜨는 달,551649
551650,['episode' 'comic'],9.70,오빠 왔다,551650
551651,['story' 'drama'],9.84,악플게임,551651
55169,['episode' 'daily' 'comic'],9.85,나이스진타임,55169
552960,['story' 'fantasy' 'action'],8.55,더 게이머,552960
557672,['omnibus' 'thrill'],9.92,기기괴괴,557672
557673,['story' 'daily' 'drama' 'sensibility'],9.94,수업시간그녀,557673
557674,['story' 'drama'],9.92,미선 임파서블,557674
557675,['story' 'drama'],9.93,하나(HANA),557675
557676,['story' 'fantasy'],9.55,다이스(DICE),557676
557678,['story' 'fantasy' 'thrill'],9.75,그날의 생존자들,557678
563782,['episode' 'daily'],9.95,아랫집 시누이,563782
563784,['story' 'fantasy' 'action'],9.95,뱀파이어,563784
563785,['story' 'fantasy' 'action'],9.96,플로우,563785
563786,['story' 'fantasy' 'action'],9.94,"OH, MY GOD!",563786
563787,['story' 'fantasy' 'thrill'],9.95,피리부는 남자,563787
568986,['story' 'daily' 'fantasy'],9.77,용이산다,568986
570502,['story' 'daily' 'drama' 'sensibility'],9.95,아이들은 즐겁다,570502
570503,['story' 'comic' 'drama'],9.87,연애혁명,570503
570504,['story' 'drama' 'pure'],9.93,열무가 익어간다,570504
570505,['story' 'drama' 'historical'],9.96,"아이소포스 1, 2부",570505
570506,['story' 'action' 'drama'],9.70,최강전설 강해효,570506
570696,['story' 'drama' 'pure'],9.78,우리의 이상한 여행,570696
574303,['omnibus' 'thrill' 'historical'],9.20,2013 전설의고향,574303
578105,['story' 'drama'],9.95,네가 없는 세상,578105
578106,['story' 'drama' 'sensibility'],9.95,소나기야,578106
578108,['story' 'drama' 'pure'],9.88,강변살다,578108
578109,['story' 'pure'],9.83,러브슬립 2부,578109
57875,['story' 'comic' 'drama'],9.25,슈퍼트리오,57875
579352,['story' 'drama'],9.81,에피소드칵테일,579352
579414,['story' 'daily' 'drama'],9.95,은주의 방,579414
579416,['story' 'fantasy' 'thrill'],9.79,리즌,579416
579417,['story' 'fantasy'],9.87,판타지스케치 - 더 게임,579417
58219,['story' 'drama'],9.84,연옥님이 보고계셔,58219
58293,['story' 'drama'],9.84,가족사진,58293
590252,['omnibus'],9.90,한국만화거장전,590252
592721,['story' 'thrill'],9.95,죄의 파편,592721
597447,['story' 'drama'],9.94,프리드로우,597447
597449,['story' 'sensibility'],9.98,샌프란시스코 화랑관,597449
597466,['story' 'fantasy' 'drama'],9.96,매지컬 고삼즈,597466
597473,['story' 'fantasy' 'drama'],9.97,원 뿔러스 원,597473
597478,['story' 'comic' 'drama'],9.91,평범한 8반,597478
597480,['story' 'drama' 'pure'],9.97,스튜디오 짭쪼롬,597480
597481,['story' 'drama'],9.89,찌질의 역사,597481
597593,['omnibus' 'drama'],9.81,지옥캠프 단편선 시즌3,597593
599232,['episode' 'comic'],9.72,실질객관영화,599232
602287,['story' 'fantasy'],9.90,신의 언어,602287
602910,['story' 'drama' 'sports'],9.96,윈드브레이커,602910
602916,['story' 'historical'],9.90,칼부림,602916
602921,['story' 'comic' 'fantasy'],8.86,이말년 서유기,602921
602922,['story' 'drama'],9.96,송곳 1~3부,602922
602923,['story' 'drama' 'pure'],9.96,안 돼요 마왕님!,602923
602925,['story' 'fantasy'],9.33,드래곤레시피,602925
602930,['story' 'drama'],9.94,너와 너 사이,602930
603159,['story' 'fantasy'],9.96,레사 시즌2~3,603159
604146,['story' 'drama'],8.61,모디파이,604146
604147,['episode' 'daily' 'comic' 'drama' 'pure' 'sensibility' 'thrill'],9.78,터치! 메리크리스마스,604147
607486,['story' 'drama'],9.87,미결,607486
608258,['episode' 'daily' 'drama'],9.89,아프니까 병원이다,608258
608259,['story' 'drama' 'thrill'],9.91,레드카펫,608259
